rate_hits,cycles_train,cycles_attack
1,3.2026,258.617
1,3.20272,246.119
1,3.20305,256.821
1,3.20276,244.904
1,3.20281,245.499
1,3.20257,258.054
1,3.20298,257.953
1,3.20261,258.671
1,3.24772,262.084
1,3.20338,258.413
1,3.20599,258.267
1,3.20263,248.895
1,3.20278,259.522
1,3.20264,248.869
0.9999,3.20292,246.212
1,3.20277,280.994
1,3.20306,256.925
1,3.2024,257.848
1,3.20284,248.24
1,3.20256,258.732
0.9999,3.20281,260.822
0.9999,3.20287,247.516
1,3.2034,282.085
0.9995,3.28346,264.896
1,3.2045,259.759
0.9999,3.20262,250.782
1,3.20301,262.851
1,3.20354,259.687
1,3.20265,245.913
0.9999,3.20329,261.088
0.9999,3.20276,260.038
1,3.20262,257.816
1,3.20266,258.401
1,3.20325,251.948
1,3.20234,245.575
1,3.20352,280.557
1,3.20323,262.752
0.9995,3.24884,249.622
1,3.20309,254.682
1,3.2067,247.156
1,3.20337,245.909
1,3.20268,265.817
1,3.20276,256.879
0.9999,3.20265,260.871
1,3.20319,260.631
1,3.20225,245.354
1,3.20233,246.776
1,3.2029,248.765
1,3.20298,244.692
1,3.20308,258.113
1,3.20273,261.773
1,3.20359,259.829
0.9993,3.26659,249.106
1,3.20626,248.821
0.9999,3.2044,257.55
1,3.20481,244.283
1,3.20663,258.788
1,3.20435,258.212
0.9999,3.20559,258.394
1,3.2051,250.328
1,3.20443,258.79
1,3.20577,247.698
1,3.20462,260.667
1,3.2047,244.695
1,3.20581,248.841
1,3.20535,259.214
0.9998,3.20513,258.445
0.9999,3.2068,249.52
0.9999,3.20682,259.392
1,3.2027,263.348
1,3.20359,245.633
1,3.20407,261.424
0.9999,3.20388,251.387
1,3.20365,258.658
1,3.20333,245.401
1,3.2027,258.31
1,3.20296,259.205
1,3.203,248.334
0.9999,3.2029,258.093
1,3.20352,247.27
1,3.20399,247.071
0.9971,3.24835,257.81
1,3.20322,259.446
1,3.20337,251.433
1,3.20268,258.857
1,3.20274,251.635
1,3.2031,281.413
1,3.20358,246.336
1,3.20471,258.767
1,3.20316,248.185
1,3.20257,244.647
0.9999,3.20254,250.661
1,3.20297,248.724
1,3.20328,244.819
1,3.20371,248.413
1,3.20318,251.956
0.9954,3.24723,263.455
1,3.20664,248.029
1,3.20289,244.754
1,3.20307,263.002
1,3.20395,261.772
1,3.20308,258.108
1,3.20331,246.35
1,3.20262,259.596
1,3.20344,247.537
1,3.20343,244.85
1,3.20287,246.074
1,3.20291,258.201
1,3.20268,251.075
1,3.20278,258.372
0.9999,3.28884,265.189
1,3.2029,258.8
1,3.20664,257.551
1,3.20239,246.901
1,3.2026,259.299
1,3.20299,262.196
1,3.20278,246.133
0.9999,3.20298,263.143
1,3.20309,244.616
1,3.20263,258.935
1,3.20287,246.523
1,3.20315,245.956
1,3.20298,260.879
1,3.2032,249.941
1,3.20262,261.367
0.9997,3.22865,247.148
1,3.20278,245.551
1,3.20258,259.562
1,3.20297,245.955
1,3.20294,244.99
1,3.20297,245.461
1,3.20321,245.96
1,3.20352,245.897
1,3.2024,247.189
1,3.20274,250.522
1,3.20282,258.284
1,3.20281,259.001
1,3.20273,259.719
0.9999,3.20282,250.426
0.9999,3.27628,262.677
1,3.20311,247.579
1,3.20294,245.378
1,3.2028,244.614
1,3.20261,257.499
1,3.2026,258.617
1,3.20319,282.348
1,3.20287,258.244
1,3.20272,245.899
1,3.20224,263.773
1,3.20352,247.578
1,3.20267,258.199
1,3.20331,260.273
1,3.20251,262.535
0.9999,3.2021,251.492
0.9985,3.41125,265.329
1,3.2034,246.297
1,3.20327,263.289
1,3.20251,248.247
1,3.20306,259.789
1,3.20311,262.241
1,3.20317,247.97
1,3.2032,261.013
1,3.20256,262.876
1,3.20244,263.511
1,3.20277,260.39
0.9999,3.20292,259.655
1,3.20349,245.727
1,3.20321,248.349
0.9994,3.24981,258.231
0.9999,3.20318,248.34
1,3.2067,258.65
1,3.20355,243.94
1,3.20241,262.578
1,3.20297,260.093
1,3.20325,257.484
1,3.20286,258.28
1,3.20251,283.888
1,3.20295,248.434
1,3.20278,258.241
1,3.20278,249.61
1,3.20314,261.944
0.9999,3.20311,257.76
1,3.20292,258.254
0.9993,3.24294,245.629
1,3.20297,251.873
1,3.20253,259.958
1,3.20301,258.81
1,3.20243,248.384
1,3.20296,249.123
1,3.20273,258.029
1,3.20278,245.801
1,3.20275,246.701
1,3.20281,262.415
1,3.20272,257.658
1,3.20245,288.1
1,3.20268,258.021
1,3.20243,246.466
1,3.2027,259.007
0.9999,3.20739,245.858
1,3.20603,248.387
1,3.20263,258.598
1,3.20333,249.042
1,3.20267,262.397
1,3.20288,282.698
1,3.20326,259.82
1,3.20304,245.426
1,3.20279,245.082
1,3.2027,259.937
1,3.20261,246.152
0.9999,3.20495,257.265
0.9999,3.20455,259.348
0.9998,3.20625,262.686
0.9991,3.24924,259.872
1,3.20328,247.865
0.9999,3.20254,259.313
1,3.20245,246.862
0.9999,3.20271,257.982
1,3.20339,263.545
1,3.20283,246.622
1,3.20311,259.058
0.9999,3.20299,246.432
1,3.20274,258.158
1,3.20247,260.197
1,3.2029,247.297
1,3.20303,244.929
1,3.20268,244.394
1,3.20316,248.625
0.9979,3.26534,260.218
0.9999,3.20697,259.101
1,3.20449,257.961
1,3.20743,255.523
0.9999,3.20467,282.005
1,3.20426,249.707
0.9999,3.20469,263.273
1,3.20451,259.844
0.9999,3.20452,246.586
1,3.20391,257.908
1,3.20556,245.89
0.9999,3.20744,246.545
0.9999,3.20523,259.365
1,3.20465,258.655
0.9976,3.28754,247.544
1,3.2051,245.016
1,3.2073,259.88
1,3.20439,245.532
1,3.20466,245.543
1,3.20633,257.807
1,3.20538,245.653
0.9999,3.20514,260.717
1,3.20441,258.51
1,3.20524,258.953
0.9998,3.20433,255.572
0.9999,3.20471,248.994
1,3.20471,246.517
1,3.20677,248.175
1,3.20518,259.347
0.9993,3.23513,259.194
1,3.20594,262.334
1,3.20533,260.317
1,3.20552,248.612
0.9999,3.20412,259.742
1,3.20403,259.547
1,3.20602,245.119
1,3.20479,260.108
1,3.20558,245.473
1,3.20633,246.325
1,3.20518,245.612
1,3.20407,250.816
0.9999,3.20453,248.851
1,3.20508,260.718
0.9996,3.2448,260.902
1,3.20319,259.219
1,3.20285,245.228
1,3.20313,260.622
0.9999,3.20273,245.998
1,3.2028,250.384
1,3.20275,247.571
1,3.20272,264.06
1,3.20328,250.309
1,3.20348,259.731
1,3.20254,258.854
1,3.20568,243.602
1,3.20488,258.925
1,3.20455,244.2
0.9999,3.20539,259.589
0.998,3.28122,259.612
1,3.2041,248.413
0.9999,3.20317,262.765
0.9999,3.20262,262.017
1,3.20384,258.197
1,3.20321,263.756
1,3.20305,246.487
1,3.20317,257.571
1,3.20274,258.16
1,3.20286,246.283
1,3.20253,250.372
1,3.20255,259.783
1,3.20269,247.662
1,3.20324,258.986
1,3.2027,259.127
1,3.20287,247.309
1,3.20294,259.8
1,3.20293,244.956
1,3.2031,260.68
1,3.20296,257.551
1,3.20274,259.999
1,3.2026,246.687
1,3.20275,258.616
1,3.20207,264.962
1,3.20247,246.387
1,3.20347,249.862
1,3.20263,258.082
1,3.20248,246.085
1,3.20292,248.709
0.9986,3.26918,263.004
1,3.20333,242.882
1,3.20271,245.774
1,3.20272,259.046
1,3.20267,247.899
1,3.20309,247.687
1,3.20314,258.174
1,3.20321,258.014
1,3.20272,247.772
1,3.20238,259.249
1,3.20236,245.39
1,3.20266,248.548
1,3.20238,257.996
1,3.20271,260.621
1,3.20317,259.103
0.9958,3.339,261.296
1,3.2026,246.479
1,3.20322,262.009
1,3.20254,245.488
0.9999,3.20274,279.742
1,3.20311,262.651
1,3.20317,258.862
1,3.20226,282.12
1,3.20237,257.825
1,3.20267,257.884
1,3.20337,244.668
0.9999,3.20355,256.069
0.9999,3.20372,249.544
1,3.20313,244.689
0.9992,3.23858,246.076
0.9999,3.20368,258.214
1,3.2032,248.771
1,3.20328,248.016
1,3.20329,250.517
0.9998,3.20381,253.07
1,3.20386,247.158
1,3.20376,261.597
1,3.2027,245.289
1,3.20352,247.979
0.9999,3.20304,259.293
1,3.20289,245.366
1,3.20352,258.497
1,3.20303,244.767
1,3.20312,249.829
0.9991,3.24423,262.208
1,3.20602,246.487
0.9998,3.20272,245.391
1,3.20338,249.352
1,3.2028,259.492
1,3.20263,246.624
1,3.20305,259.731
1,3.20321,244
1,3.2027,257.438
1,3.20277,257.986
1,3.20246,257.891
1,3.20292,259.323
1,3.20258,251.572
1,3.20249,264.558
0.9968,3.29252,263.791
1,3.20302,247.69
1,3.20638,261.458
0.9999,3.20296,260.792
1,3.20397,250.18
0.9999,3.20522,259.241
1,3.20471,260.296
1,3.20461,247.861
1,3.20578,247.526
1,3.20436,248.011
1,3.20444,249.662
0.9999,3.20596,262.189
1,3.20437,241.34
1,3.205,246.727
1,3.20483,258.265
0.9988,3.25057,248.73
1,3.20594,258.237
1,3.2029,260.196
0.9999,3.20317,248.014
1,3.20242,263.507
1,3.20252,247.505
1,3.20275,248.082
1,3.20293,261.818
1,3.20283,257.498
1,3.20261,247.068
1,3.20264,259.768
1,3.20263,262.732
1,3.20315,260.152
