rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0016,0.0001,8.09887e-06,8.15031e-06
0.0006,0,8.10904e-06,8.16079e-06
0.0025,0.0005,8.10263e-06,8.14668e-06
0.0168,0.0001,8.15289e-06,8.21017e-06
0.1613,0.1054,8.18494e-06,8.24859e-06
0.0007,0,8.14693e-06,8.19939e-06
0.0023,0,8.11664e-06,8.15688e-06
0.0014,0.0001,8.10109e-06,8.17783e-06
0.0014,0,8.09973e-06,8.16771e-06
0.0007,0,8.11323e-06,8.18844e-06
0.2903,0.0913,8.27652e-06,8.32848e-06
0.0002,0.0002,8.13514e-06,8.1922e-06
0.0011,0.0001,8.11629e-06,8.17334e-06
0.1798,0.0536,8.15008e-06,8.19094e-06
0.1057,0.029,8.1705e-06,8.22316e-06
0.0047,0.0002,8.17429e-06,8.24241e-06
0.0588,0.0058,8.13821e-06,8.19511e-06
0.0019,0,8.15239e-06,8.20463e-06
0.0108,0,8.13813e-06,8.17327e-06
0.0144,0.0002,8.11959e-06,8.18132e-06
0.0523,0.0215,8.15194e-06,8.18261e-06
0.0015,0.0001,8.16252e-06,8.21343e-06
0.0444,0.0108,8.11481e-06,8.16368e-06
0.0007,0.0001,8.11212e-06,8.179e-06
0.0006,0.3,8.09805e-06,8.64061e-06
0.0013,0.0001,8.06315e-06,8.14438e-06
0.0051,0.0011,8.11457e-06,8.17852e-06
0.0016,0,8.11057e-06,8.16761e-06
0.068,0.0165,8.1265e-06,8.18631e-06
0.0699,0.0237,8.14111e-06,8.19415e-06
0.155,0.0346,8.17314e-06,8.233e-06
0.002,0,8.19267e-06,8.26106e-06
0.001,0.0001,8.11234e-06,8.17713e-06
0.002,0.0004,8.09342e-06,8.15813e-06
0.0539,0.0129,8.14021e-06,8.19428e-06
0.0653,0.0004,8.11609e-06,8.17853e-06
0.0075,0.0002,8.10035e-06,8.15607e-06
0.0009,0,8.07971e-06,8.14787e-06
0.1099,0.0529,8.13486e-06,8.19755e-06
0.001,0,8.07586e-06,8.13847e-06
0.0017,0.0001,8.08629e-06,8.14892e-06
0.002,0,8.08301e-06,8.14551e-06
0.0015,0,8.09606e-06,8.16596e-06
0.0018,0.0001,8.09639e-06,8.16741e-06
0.0016,0.0001,8.12299e-06,8.19043e-06
0.0499,0.0153,8.10604e-06,8.15341e-06
0.0006,0,8.11435e-06,8.17864e-06
0.0012,0.0002,8.11239e-06,8.18085e-06
0.0014,0,8.08148e-06,8.15068e-06
0.0327,0.0001,8.14108e-06,8.19966e-06
0.0032,0.0003,8.11741e-06,8.16555e-06
0.0011,0.0001,8.097e-06,8.1663e-06
0.061,0.0157,8.13943e-06,8.20131e-06
0.0635,0.0104,8.14321e-06,8.18721e-06
0.0024,0.0001,8.15084e-06,8.21546e-06
0.027,0.0003,8.16056e-06,8.20984e-06
0.0009,0,8.0994e-06,8.17009e-06
0.0022,0,8.1403e-06,8.18616e-06
0.0011,0,8.09716e-06,8.14986e-06
0.0244,0,8.13914e-06,8.20552e-06
0.0016,0,8.09835e-06,8.17256e-06
0.0011,0.1475,8.10672e-06,8.42018e-06
0.0015,0.0001,8.11375e-06,8.18642e-06
0.0015,0,8.10937e-06,8.18131e-06
0.001,0.0001,8.17078e-06,8.23763e-06
0.0017,0,8.11216e-06,8.14901e-06
0.0007,0,8.10188e-06,8.15993e-06
0.0025,0,8.07948e-06,8.164e-06
0.0413,0.0095,8.14448e-06,8.20693e-06
0.0005,0,8.096e-06,8.14691e-06
0.031,0.0054,8.15283e-06,8.21055e-06
0.0017,0,8.11289e-06,8.17691e-06
0.0004,0,8.11457e-06,8.18668e-06
0.0163,0,8.13124e-06,8.18217e-06
0.0008,0.0002,8.08652e-06,8.13418e-06
0.002,0.0063,8.08177e-06,8.14494e-06
0.0103,0,8.14587e-06,8.20186e-06
0.0008,0,8.09903e-06,8.17148e-06
0.0178,0.0003,8.13745e-06,8.19188e-06
0.0016,0,8.10232e-06,8.17124e-06
0.03,0.0126,8.23094e-06,8.30222e-06
0.09,0.0001,8.10221e-06,8.14654e-06
0.0003,0,8.09165e-06,8.17734e-06
0.0009,0.0001,8.06315e-06,8.12154e-06
0.0014,0.0001,8.10732e-06,8.18461e-06
0.003,0,8.1459e-06,8.21014e-06
0.0013,0.0002,8.11564e-06,8.1859e-06
0.0006,0,8.10998e-06,8.16601e-06
0.0004,0.0001,8.0868e-06,8.15864e-06
0.002,0.0002,8.06167e-06,8.11556e-06
0.0015,0,8.11588e-06,8.18642e-06
0.0021,0.0001,8.1154e-06,8.18763e-06
0.0217,0,8.14778e-06,8.2092e-06
0.0019,0,8.14526e-06,8.19492e-06
0.0171,0.013,8.10465e-06,8.1656e-06
0.0012,0.0001,8.09889e-06,8.1657e-06
0.001,0.0001,8.09105e-06,8.16272e-06
0.0023,0.0001,8.09829e-06,8.16346e-06
0.0033,0.1328,8.11963e-06,8.36733e-06
0.0019,0.0001,8.12967e-06,8.17674e-06
0.0015,0.0003,8.07201e-06,8.12211e-06
0.0014,0.0001,8.09376e-06,8.14507e-06
0.0024,0,8.12321e-06,8.18245e-06
