rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.7083,0,8.72944e-06,8.94257e-06
0.6385,0,8.78595e-06,8.94275e-06
0.796,0,8.69695e-06,8.9431e-06
0.7663,0,8.69783e-06,8.9409e-06
0.744,0,8.73561e-06,8.94132e-06
0.6053,0,8.76985e-06,8.94185e-06
0.672,0,8.74579e-06,8.94131e-06
0.7134,0,8.71917e-06,8.94241e-06
0.9375,0,8.66584e-06,8.9412e-06
0.7491,0,8.72063e-06,8.94348e-06
0.761,0,8.72142e-06,8.94147e-06
0.6397,0,8.77831e-06,8.94248e-06
0.6982,0,8.7278e-06,8.94118e-06
0.7195,0,8.72428e-06,8.94175e-06
0.7142,0,8.71914e-06,8.94146e-06
0.6221,0,8.76045e-06,8.94253e-06
0.4106,0,8.85256e-06,8.9783e-06
0.4393,0,8.84196e-06,8.94158e-06
0.7154,0,8.7339e-06,8.94131e-06
0.5666,0,8.77294e-06,8.94232e-06
0.7061,0,8.75196e-06,8.94142e-06
0.7322,0,8.7164e-06,8.94132e-06
0.7427,0,8.7281e-06,8.94102e-06
0.7527,0,8.68653e-06,8.94139e-06
0.6893,0,8.74662e-06,8.94138e-06
0.6575,0,8.78367e-06,8.95222e-06
0.754,0,8.7245e-06,8.94097e-06
0.6424,0,8.77825e-06,8.94165e-06
0.6578,0,8.77546e-06,8.94187e-06
0.6755,0,8.72186e-06,8.94143e-06
0.7656,0,8.71945e-06,8.94219e-06
0.6439,0,8.74028e-06,8.94286e-06
0.7186,0,8.72706e-06,8.94187e-06
0.5619,0,8.80189e-06,8.94165e-06
0.7571,0,8.70525e-06,8.9419e-06
0.7123,0,8.69817e-06,8.94138e-06
0.7428,0,8.72028e-06,8.94259e-06
0.6479,0,8.75494e-06,8.94118e-06
0.7646,0,8.70338e-06,8.94141e-06
0.7301,0,9.10003e-06,8.99271e-06
0.7145,0,8.72802e-06,8.94144e-06
0.6429,0,8.77325e-06,8.94228e-06
0.7401,0,8.72887e-06,8.94222e-06
0.7499,0,8.72456e-06,8.94171e-06
0.7766,0,8.82249e-06,9.021e-06
0.7405,0,8.71339e-06,8.94167e-06
0.7559,0,8.70548e-06,8.94169e-06
0.7491,0,8.68907e-06,8.94126e-06
0.729,0,8.73456e-06,8.94155e-06
0.739,0,8.74425e-06,8.94706e-06
0.7113,0,8.7326e-06,8.94107e-06
